StartDate,EndDate,Duration,MTurkCode,Browser Meta Info-Browser,Browser Meta Info-Operating System,96 AW_1,96 AW_2,96 GL_1,96 GL_2,128 AW_1,128 AW_2,128 GL_1,128 GL_2,256 AW_1,256 AW_2,256 GL_1,256 GL_2,lossle AW_1,lossle AW_2,lossle GL_1,lossle GL_2,96 AW2_1,96 AW2_2,96 GL2_1,96 GL2_2,128 AW2_1,128 AW2_2,128 GL2_1,128 GL2_2,256 AW2_1,256 AW2_2,256 GL2_1,256 GL2_2,lossle AW2_1,lossle AW2_2,lossle GL2_1,lossle GL2_2,Fuel Text,Instruct 2,P2 C 96_1,P2 C 96_2,P2 C 256_1,P2 C 256_2,P2 C Loss_1,P2 C Loss_2,P2 T 96_1,P2 T 96_2,P2 T 256_1,P2 T 256_2,P2 T Loss_1,P2 T Loss_2,SpeakType,NormalUse,ListFreq,ListLoc,Age
2015-08-15 22:34:20,2015-08-15 22:52:53,18m 33s,803299731,Firefox,Windows NT 6.1,,,,,,,,,,,,,5,4,6,6,,,,,,,,,5,7,6,7,,,,,1,1,6,5,6,6,6,6,,,,,,,2,1,7,3,3
2015-08-15 22:04:53,2015-08-15 22:12:19,7m 26s,766055616,Firefox,Windows NT 6.1,5,6,6,6,,,,,,,,,,,,,,,,,,,,,,,,,4,6,7,7,1,1,6,6,5,6,6,6,,,,,,,2,1,7,4,3
2015-08-15 22:04:10,2015-08-15 22:11:32,7m 22s,496289301,Firefox,Windows NT 6.3,,,,,,,,,,,,,7,5,5,6,,,,,7,5,5,6,,,,,,,,,1,1,,,,,,,6,6,6,6,6,6,4,1,6,4,4
2015-08-15 21:48:02,2015-08-15 21:54:52,6m 50s,869448189,Firefox,Windows NT 6.3,,,,,,,,,,,,,6,6,5,6,,,,,,,,,6,6,5,6,,,,,1,1,6,5,6,5,6,6,,,,,,,1,1,7,4,5
2015-08-15 21:46:09,2015-08-15 21:56:40,10m 31s,973643905,Firefox,Windows NT 6.1,,,,,,,,,,,,,3,3,5,4,,,,,,,,,6,6,5,4,,,,,1,1,,,,,,,6,5,4,5,4,5,3,1,7,4,4
2015-08-15 21:44:45,2015-08-15 21:51:28,6m 43s,282285671,Firefox,Windows NT 10.0,,,,,,,,,3,2,6,6,,,,,2,6,6,4,,,,,,,,,,,,,1,1,4,5,4,6,4,6,,,,,,,4,1,7,3,4
2015-08-15 21:38:06,2015-08-15 21:43:54,5m 48s,333947629,Firefox,Ubuntu,,,,,,,,,6,6,2,6,,,,,,,,,,,,,,,,,6,6,2,6,1,1,5,6,6,6,6,6,,,,,,,5,1,7,3,4
2015-08-15 20:32:33,2015-08-15 20:37:43,5m 10s,690793744,Firefox,Windows NT 6.3,,,,,,,,,3,6,5,6,,,,,,,,,3,6,5,6,,,,,,,,,1,1,6,7,6,7,6,7,,,,,,,1,1,5,1,5
2015-08-15 20:20:23,2015-08-15 20:26:32,6m 9s,324892602,Chrome,Windows NT 6.2,,,,,7,7,5,6,,,,,,,,,,,,,6,7,5,6,,,,,,,,,1,1,6,7,6,7,6,7,,,,,,,1,1,6,4,4
2015-08-15 19:59:35,2015-08-15 20:04:36,5m 1s,453474347,Firefox,Windows NT 6.1,,,,,,,,,6,6,6,7,,,,,6,6,6,6,,,,,,,,,,,,,1,1,5,5,5,6,5,7,,,,,,,2,1,6,4,5
